datetime,open,high,low,close,volume,openinterest
2015-06-01,37.11,38.5,36.98,38.4,34768076.0,0
2015-06-02,38.41,38.6,37.4,38.44,36818748.0,0
2015-06-03,38.45,39.6,38.34,39.1,41423504.0,0
2015-06-04,39.0,39.0,35.24,38.03,36413100.0,0
2015-06-05,38.26,38.98,36.95,37.68,45745356.0,0
2015-06-08,37.72,39.48,37.2,39.37,63114808.0,0
2015-06-09,39.4,39.82,38.2,38.62,41610360.0,0
2015-06-10,38.11,39.38,37.8,38.77,33060812.0,0
2015-06-11,38.77,39.26,37.71,38.08,30427904.0,0
2015-06-12,38.08,38.69,37.55,37.87,36525160.0,0
2015-06-15,37.93,38.08,36.36,36.51,43517492.0,0
2015-06-16,36.57,37.14,35.73,36.45,33203356.0,0
2015-06-17,36.75,37.2,36.01,36.98,25990068.0,0
2015-06-18,36.98,37.14,35.86,35.91,30265564.0,0
2015-06-19,35.79,36.84,33.0,35.02,35452536.0,0
2015-06-23,34.98,38.15,34.8,38.0,52787032.0,0
2015-06-24,38.05,39.0,37.3,38.84,51962160.0,0
2015-06-25,39.1,39.88,36.0,36.71,57041384.0,0
2015-06-26,35.8,36.61,33.2,34.41,52991656.0,0
2015-06-29,36.0,36.64,32.5,34.3,90937480.0,0
2015-06-30,34.27,37.38,33.8,37.28,75078864.0,0
2015-07-01,37.0,37.8,35.52,35.6,48541768.0,0
2015-07-02,36.2,36.5,33.68,35.99,48577904.0,0
2015-07-03,36.0,36.0,32.76,33.3,60874388.0,0
2015-07-06,36.55,36.55,32.99,35.0,75178048.0,0
2015-07-07,34.01,34.94,32.9,34.23,77361416.0,0
2015-07-08,30.81,31.5,30.81,30.81,115388480.0,0
2015-07-09,30.81,33.89,29.0,33.89,62243192.0,0
2015-07-10,34.0,37.28,33.89,37.25,72185400.0,0
2015-07-13,37.29,39.38,36.38,38.09,78097568.0,0
2015-07-14,37.33,37.55,36.01,36.04,52213204.0,0
2015-07-15,35.44,36.5,33.81,36.0,36258368.0,0
2015-07-16,36.0,36.4,34.88,35.6,30862238.0,0
2015-07-17,36.12,36.95,35.6,36.42,35328116.0,0
2015-07-20,36.55,36.56,35.3,35.63,29121420.0,0
2015-07-21,35.06,35.5,34.86,35.03,21271204.0,0
2015-07-22,35.41,35.76,34.1,34.37,36019292.0,0
2015-07-23,34.3,35.0,34.0,34.85,31869268.0,0
2015-07-24,34.85,35.5,34.2,34.36,30540892.0,0
2015-07-27,33.91,34.21,31.01,31.5,44932008.0,0
2015-07-28,30.87,33.55,30.56,32.88,56326708.0,0
2015-07-29,33.0,33.53,32.54,33.42,28478986.0,0
2015-07-30,33.38,33.78,32.1,32.25,20397588.0,0
2015-07-31,31.75,33.21,31.61,33.15,32407552.0,0
2015-08-03,32.58,34.0,32.48,34.0,31154772.0,0
2015-08-04,33.93,34.09,33.04,34.06,22825968.0,0
2015-08-05,35.5,35.99,34.3,34.41,35487736.0,0
2015-08-06,33.79,34.5,33.01,33.82,17598970.0,0
2015-08-07,34.29,34.5,33.8,34.22,14913699.0,0
2015-08-10,34.22,35.12,33.6,34.95,30259810.0,0
2015-08-11,34.7,34.95,34.42,34.6,24720312.0,0
2015-08-12,34.61,34.94,33.5,33.51,22699832.0,0
2015-08-13,33.41,33.87,33.0,33.63,15754251.0,0
2015-08-14,33.64,33.69,33.2,33.3,17502360.0,0
2015-08-17,33.24,33.24,32.5,32.68,17147960.0,0
2015-08-18,32.68,32.98,30.69,30.93,25517502.0,0
2015-08-19,30.57,31.4,30.0,31.27,25889060.0,0
2015-08-20,30.56,30.98,30.01,30.01,24042296.0,0
2015-08-21,29.69,29.99,28.0,28.08,30028068.0,0
2015-08-24,26.98,26.99,25.27,25.28,52360312.0,0
2015-08-25,23.86,26.18,23.33,23.76,54896160.0,0
2015-08-26,24.18,26.12,23.88,25.23,54967200.0,0
2015-08-27,26.2,26.63,25.17,26.54,40262972.0,0
2015-08-28,26.72,27.67,26.61,27.35,36457572.0,0
2015-08-31,27.8,28.79,26.55,28.79,49991080.0,0
2015-09-01,27.99,28.88,27.32,28.83,48440980.0,0
2015-09-02,27.85,28.97,27.32,28.75,64347292.0,0
2015-09-07,28.55,28.99,26.72,26.86,43830924.0,0
2015-09-08,26.65,27.48,26.11,27.4,20686656.0,0
2015-09-09,27.41,28.23,27.13,27.9,26777284.0,0
2015-09-10,27.52,27.78,27.33,27.36,14092056.0,0
2015-09-11,27.43,27.55,27.13,27.25,9503818.0,0
2015-09-14,27.4,27.42,25.5,26.01,24433888.0,0
2015-09-15,25.88,25.88,24.7,25.0,20303484.0,0
2015-09-16,25.2,26.98,24.98,26.64,20269228.0,0
2015-09-17,26.52,26.7,25.3,25.5,19481564.0,0
2015-09-18,25.68,25.97,25.61,25.88,11668951.0,0
2015-09-21,25.54,26.56,25.52,26.53,13657649.0,0
2015-09-22,26.4,26.96,26.39,26.65,15591573.0,0
2015-09-23,26.4,26.4,25.78,25.84,12130958.0,0
2015-09-24,26.07,26.56,25.86,26.13,12004218.0,0
2015-09-25,26.01,26.05,24.95,25.1,18559580.0,0
2015-09-28,25.12,25.15,24.73,25.1,10799093.0,0
2015-09-29,24.79,24.93,24.47,24.57,11615717.0,0
2015-09-30,24.72,25.38,24.72,25.23,12239911.0,0
2015-10-08,26.5,27.74,26.5,27.11,37937096.0,0
2015-10-09,27.05,27.25,26.74,27.1,14428276.0,0
2015-10-12,27.22,28.38,27.0,28.29,27868676.0,0
2015-10-13,28.2,28.2,27.63,27.92,17334722.0,0
2015-10-14,27.61,27.74,26.9,26.97,20817984.0,0
2015-10-15,26.94,27.56,26.83,27.52,20791004.0,0
2015-10-16,27.41,28.08,27.3,27.66,22177382.0,0
2015-10-19,27.7,27.78,27.12,27.42,20203016.0,0
